segment_index,pyannote_speaker,assigned_speaker,cluster_best_speaker,cluster_best_score,cluster_second_speaker,cluster_second_score,cluster_margin,start,end,duration_sec,analysis_start,analysis_end,analysis_duration_sec,segment_best_speaker,segment_best_score,segment_second_speaker,segment_second_score,segment_margin,oki,takahara,tsuboi
25,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,32.985,34.025,1.04,32.985,34.025,1.04,oki,0.234924,tsuboi,0.168773,0.066151,0.234924,0.122133,0.168773
26,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,33.565,34.565,1.0,33.565,34.565,1.0,tsuboi,0.456673,oki,0.303506,0.153167,0.303506,0.211176,0.456673
27,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,34.685,36.365,1.68,34.685,36.365,1.68,tsuboi,0.267464,oki,0.254659,0.012805,0.254659,0.244554,0.267464
28,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,36.625,37.485,0.86,36.625,37.485,0.86,tsuboi,0.235045,oki,0.182996,0.052049,0.182996,0.152431,0.235045
29,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,38.085,38.645,0.56,37.965,38.765,0.8,oki,0.154051,tsuboi,0.022782,0.131269,0.154051,-0.036307,0.022782
30,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,40.245,43.825,3.58,40.245,43.825,3.58,takahara,0.528373,tsuboi,0.253139,0.275234,0.210288,0.528373,0.253139
31,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,43.685,44.205,0.52,43.545,44.345,0.8,tsuboi,0.093695,oki,0.056056,0.037639,0.056056,0.00461,0.093695
32,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,44.205,44.225,0.02,43.815,44.615,0.8,oki,0.232936,takahara,0.169193,0.063743,0.232936,0.169193,0.010095
33,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,44.245,44.825,0.58,44.135,44.935,0.8,takahara,0.238554,oki,0.134118,0.104436,0.134118,0.238554,0.074359
34,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,45.225,45.545,0.32,44.985,45.785,0.8,tsuboi,0.271529,oki,0.238401,0.033128,0.238401,0.054294,0.271529
35,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,46.125,48.525,2.4,46.125,48.525,2.4,takahara,0.337404,tsuboi,0.136653,0.200751,0.111761,0.337404,0.136653
36,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,49.305,49.565,0.26,49.035,49.835,0.8,takahara,0.237601,tsuboi,-0.075009,0.31261,-0.078031,0.237601,-0.075009
37,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,54.585,56.005,1.42,54.585,56.005,1.42,takahara,0.331231,oki,0.223133,0.108098,0.223133,0.331231,0.145201
38,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,58.265,61.945,3.68,58.265,61.945,3.68,takahara,0.5024,tsuboi,0.256287,0.246113,0.206996,0.5024,0.256287
39,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,62.105,62.265,0.16,61.785,62.585,0.8,oki,0.031738,takahara,0.015476,0.016262,0.031738,0.015476,-0.028277
40,SPEAKER_00,oki,oki,0.625461,tsuboi,0.405462,0.219999,62.765,63.565,0.8,62.765,63.565,0.8,oki,0.193008,takahara,0.157931,0.035077,0.193008,0.157931,0.105086
